-,KK,RRB,HCB,SAB,RRP,HCP,SAP,,-,KK,RRB,HCB,SAB,RRP,HCP,SAP
File 1,0.000045,0.071979,0.023823,0.030852,2.107611,2.048824,2.079334,,Mean Residue,252077.480,276733428.200,484587128.800,606502160.160,143.520,700.120,218.480
File 2,0.000045,0.069779,0.021653,0.030063,2.10987,2.051031,2.064843,,Std Dev Residue,328211.326,299483955.569,502453807.040,533434847.177,145.289,745.966,242.491
File 3,0.000039,0.069718,0.021587,0.029612,2.111107,2.041196,2.069503,,Mean Time,0.0000350,0.0718,0.0246,0.0318,2.2053,2.1462,2.1510
File 4,0.000043,0.070173,0.021777,0.030568,2.114759,2.038058,2.062886,,Standard Deviation Time,0.0000057,0.0030,0.0024,0.0025,0.0596,0.0724,0.0550
File 5,0.000045,0.069611,0.021752,0.030397,2.105348,2.036764,2.052897,,,,,,,,,
File 6,0.000042,0.06986,0.021707,0.030322,2.114843,2.080039,2.121694,,,,,,,,,
File 7,0.00004,0.072149,0.024078,0.035539,2.219338,2.057628,2.067313,,,,,,,,,
File 8,0.000038,0.068911,0.021453,0.031317,2.125614,2.102925,2.090326,,,,,,,,,
File 9,0.000036,0.070873,0.021463,0.029674,2.128252,2.06782,2.073016,,,,,,,,,
File 10,0.000037,0.068669,0.021841,0.029756,2.119722,2.071414,2.114282,,,,,,,,,
File 11,0.000037,0.069745,0.022783,0.03096,2.244357,2.296364,2.267909,,,,,,,,,
File 12,0.000038,0.069707,0.022197,0.029802,2.207212,2.307133,2.318719,,,,,,,,,
File 13,0.000038,0.077753,0.024947,0.033675,2.300258,2.325394,2.180325,,,,,,,,,
File 14,0.000029,0.068126,0.021492,0.02739,2.408985,2.199061,2.157087,,,,,,,,,
File 15,0.000041,0.068494,0.021718,0.028549,2.205919,2.23497,2.142182,,,,,,,,,
File 16,0.000032,0.071673,0.024104,0.027886,2.28095,2.361838,2.145796,,,,,,,,,
File 17,0.000045,0.068951,0.022143,0.028843,2.223006,2.106281,2.0973,,,,,,,,,
File 18,0.00003,0.067267,0.02131,0.026942,2.161169,2.14731,2.128709,,,,,,,,,
File 19,0.00003,0.067687,0.024559,0.031268,2.214782,2.144151,2.095925,,,,,,,,,
File 20,0.000029,0.068534,0.02264,0.02853,2.140256,2.110882,2.144957,,,,,,,,,
File 21,0.00003,0.069297,0.025771,0.034316,2.214689,2.131895,2.120224,,,,,,,,,
File 22,0.000031,0.069107,0.023972,0.029283,2.160515,2.101833,2.17338,,,,,,,,,
File 23,0.000037,0.076708,0.02575,0.031425,2.194751,2.123758,2.11555,,,,,,,,,
File 24,0.000032,0.072569,0.027918,0.033556,2.224969,2.175207,2.204018,,,,,,,,,
File 25,0.000051,0.071883,0.028388,0.035055,2.212044,2.163149,2.133243,,,,,,,,,
File 26,0.000037,0.077925,0.023297,0.037211,2.218648,2.153219,2.182924,,,,,,,,,
File 27,0.00003,0.072729,0.027395,0.032173,2.293007,2.162192,2.1762,,,,,,,,,
File 28,0.00003,0.075973,0.026691,0.032084,2.225599,2.185239,2.158528,,,,,,,,,
File 29,0.00003,0.072889,0.027618,0.029964,2.150767,2.119072,2.15677,,,,,,,,,
File 30,0.000031,0.072272,0.026386,0.035135,2.199812,2.143747,2.129744,,,,,,,,,
File 31,0.000032,0.073775,0.026709,0.030513,2.203603,2.129494,2.155856,,,,,,,,,
File 32,0.00003,0.071574,0.02683,0.034152,2.203585,2.166329,2.148937,,,,,,,,,
File 33,0.000033,0.077655,0.025703,0.035377,2.232832,2.205068,2.189612,,,,,,,,,
File 34,0.000031,0.072199,0.025395,0.037411,2.206874,2.154398,2.211546,,,,,,,,,
File 35,0.00003,0.071401,0.029996,0.033499,2.249589,2.134798,2.158786,,,,,,,,,
File 36,0.000031,0.075274,0.026735,0.032942,2.262519,2.125696,2.167358,,,,,,,,,
File 37,0.000029,0.077758,0.026011,0.032379,2.245189,2.14415,2.191524,,,,,,,,,
File 38,0.000033,0.069231,0.027707,0.031861,2.170478,2.142516,2.172222,,,,,,,,,
File 39,0.00003,0.073533,0.02836,0.03338,2.242404,2.160143,2.167906,,,,,,,,,
File 40,0.000042,0.073552,0.026853,0.032278,2.246442,2.15628,2.189657,,,,,,,,,
File 41,0.00003,0.076905,0.025557,0.031688,2.276694,2.217584,2.271998,,,,,,,,,
File 42,0.000045,0.071825,0.025908,0.034407,2.234902,2.123129,2.175745,,,,,,,,,
File 43,0.000029,0.076792,0.026497,0.033684,2.209891,2.096658,2.203746,,,,,,,,,
File 44,0.000033,0.06899,0.021739,0.027271,2.202385,2.221808,2.172285,,,,,,,,,
File 45,0.000034,0.071228,0.025655,0.036004,2.233722,2.187955,2.144625,,,,,,,,,
File 46,0.000038,0.069603,0.024157,0.033312,2.233689,2.153513,2.148044,,,,,,,,,
File 47,0.000031,0.067795,0.021838,0.031421,2.195008,2.202369,2.203153,,,,,,,,,
File 48,0.00003,0.072453,0.026953,0.03006,2.24091,2.086325,2.131711,,,,,,,,,
File 49,0.000031,0.075039,0.025072,0.031682,2.195076,2.093781,2.115562,,,,,,,,,
File 50,0.000031,0.070788,0.026221,0.032609,2.238852,2.120321,2.205336,,,,,,,,,
,,,,,,,,,,,,,,,,
,0.00003502,0.07176762,0.02464218,0.03176154,2.20525606,2.14621418,2.15102386,,,,,,,,,
,5.74808E-06,0.003029363,0.002393159,0.0025473,0.059600449,0.07240163,0.054969767,,,,,,,,,
